Year,Country,Attack Type,Industry,Economic Loss (USD),Severity,Records Stolen,Threat Actor
2015,Australia,Zero-Day Exploit,Education,8745552,Critical,501067,Anonymous
2017,Canada,Data Breach,Retail,1465475,High,4120623,DarkSide
2018,Canada,DDoS,Government,4268934,Low,2615132,Lazarus Group
2015,UK,Zero-Day Exploit,Government,4148735,Medium,532509,Anonymous
2020,Japan,Ransomware,Banking,1927464,Critical,3416665,Lazarus Group
2020,Brazil,Data Breach,Technology,7480346,Medium,4487289,DarkSide
2020,South Korea,DDoS,Retail,4526797,Medium,4784142,APT29
2023,China,DDoS,Retail,3857295,Critical,3242512,DarkSide
2020,France,Malware,Technology,6785264,Critical,150659,APT29
2019,Russia,Phishing,Education,3333444,Critical,3789508,Unknown
2020,Japan,Phishing,Government,6867610,High,1607109,Unknown
2018,South Korea,Malware,Healthcare,1964243,Medium,2478158,LockBit
2025,USA,Malware,Government,8959225,High,561658,Unknown
2021,USA,Malware,Technology,5189400,High,1575185,Anonymous
2024,India,DDoS,Government,9693244,Medium,2433577,Unknown
2017,Brazil,Ransomware,Telecommunications,846532,Medium,1786751,DarkSide
2025,UK,Zero-Day Exploit,Healthcare,2103878,High,1249476,DarkSide
2016,Japan,SQL Injection,Retail,8317837,Low,4737390,Unknown
2018,India,Malware,Retail,7837456,High,1168108,DarkSide
2016,India,Data Breach,Banking,2046616,High,4643350,DarkSide
2022,South Korea,Phishing,Healthcare,3337712,Critical,1419311,Unknown
2021,USA,Malware,Education,963568,Critical,809280,DarkSide
2020,Canada,Phishing,Healthcare,1926874,High,1109902,APT29
2022,China,Ransomware,Government,5446397,Critical,4493787,DarkSide
2025,Australia,Ransomware,Retail,8494613,High,3740252,Unknown
2023,Brazil,Zero-Day Exploit,Education,2727133,Low,3394377,Lazarus Group
2019,India,Data Breach,Technology,8670152,Low,2303886,LockBit
2021,UK,SQL Injection,Government,8062741,Low,1827947,APT29
2018,Germany,Phishing,Banking,6958198,High,3108886,DarkSide
2020,South Korea,Zero-Day Exploit,Government,7368111,High,4449837,DarkSide
2018,China,Ransomware,Telecommunications,1982788,Critical,3739889,DarkSide
2025,Canada,DDoS,Healthcare,7723510,Low,4903140,LockBit
2017,France,Malware,Government,3647937,High,3473077,LockBit
2016,China,SQL Injection,Healthcare,7429911,Medium,4717043,Lazarus Group
2025,Australia,SQL Injection,Technology,6490425,High,2942266,Anonymous
2019,Germany,Phishing,Healthcare,4562850,Medium,1022284,Lazarus Group
2019,India,SQL Injection,Government,7734024,High,1367344,Unknown
2021,Germany,Malware,Healthcare,4439666,High,4578521,LockBit
2017,Brazil,DDoS,Education,5960679,Critical,4432469,APT29
2019,Germany,Zero-Day Exploit,Retail,1535110,Critical,2607651,Unknown
2020,Japan,Phishing,Healthcare,4325415,High,2346375,Anonymous
2024,India,Ransomware,Government,6190245,Low,904591,Lazarus Group
2018,Brazil,Phishing,Retail,2750665,Critical,2965765,DarkSide
2021,South Korea,Data Breach,Government,8559116,Critical,3805097,BlackCat
2018,Canada,Malware,Education,4739379,High,801561,Anonymous
2022,France,Zero-Day Exploit,Education,4955074,Low,2049906,BlackCat
2021,USA,Data Breach,Healthcare,541311,Low,4174655,Anonymous
2015,UK,Phishing,Retail,1350365,Low,4128424,Unknown
2022,Japan,DDoS,Technology,4318358,Critical,3519703,BlackCat
2025,China,DDoS,Technology,3844954,High,1330848,APT29
2021,Canada,SQL Injection,Education,3660289,Critical,653349,Unknown
2024,France,Zero-Day Exploit,Banking,2592296,High,1862784,LockBit
2016,Japan,DDoS,Retail,2576907,High,2626776,Lazarus Group
2019,UK,Malware,Government,4116052,Low,817032,Unknown
2021,Australia,DDoS,Telecommunications,8660520,Critical,2983556,Anonymous
2021,France,SQL Injection,Retail,1123907,Medium,1834592,Anonymous
2024,Russia,Phishing,Telecommunications,3234760,Low,4999046,Lazarus Group
2016,Australia,SQL Injection,Education,826584,Low,3705037,Anonymous
2021,Russia,Phishing,Healthcare,9506609,Critical,1220383,BlackCat
2024,Australia,Data Breach,Telecommunications,6201095,Low,4405231,Anonymous
2020,South Korea,Ransomware,Telecommunications,7457274,Medium,1257014,Anonymous
2020,Japan,DDoS,Telecommunications,7175384,High,4961233,DarkSide
2025,Russia,SQL Injection,Government,6064695,Low,4952353,Lazarus Group
2017,France,Ransomware,Retail,8569567,Medium,1216690,BlackCat
2021,USA,SQL Injection,Retail,7292523,High,2545264,BlackCat
2017,Germany,Data Breach,Healthcare,4505272,Critical,1968453,Unknown
2024,India,Zero-Day Exploit,Banking,745381,Low,2542117,APT29
2021,Brazil,Malware,Government,7424776,Critical,4262792,Unknown
2020,China,SQL Injection,Retail,2289238,Critical,2479715,Unknown
2024,France,Zero-Day Exploit,Retail,8423540,Critical,933664,LockBit
2015,Canada,SQL Injection,Government,7208819,Critical,1905011,LockBit
2018,China,Phishing,Education,4062098,Medium,4006284,Unknown
2019,UK,Zero-Day Exploit,Banking,5572430,High,4486879,BlackCat
2016,India,DDoS,Education,2235511,Low,3467361,APT29
2021,Brazil,Data Breach,Healthcare,3049200,Low,1479750,BlackCat
2016,Canada,Zero-Day Exploit,Banking,9255842,Medium,266937,DarkSide
2019,UK,Data Breach,Telecommunications,6384518,Critical,4492090,BlackCat
2015,Japan,Malware,Retail,1226127,Critical,4552984,Anonymous
2024,Germany,SQL Injection,Healthcare,4985279,Medium,3134286,APT29
2016,China,Zero-Day Exploit,Government,1259286,Medium,4212235,BlackCat
